"Type","Service","Station","Location","Reason","Estimated Return","Alternate Access"
"Elevator","-","-","All Elevators are in Service","-","-","-"
"Escalator","Link","Westlake Station","#307 - Down, Surface to Mezzanine, Macy's","Repair","TBD","Use stairs or elevator"
"Escalator","Link","Westlake Station","#316 - Down, Surface to Mid Nordstrom's","Repair","TBD","Use stairs or elevator"
"Escalator","Link","University Street Station","#511 - Southbound, up, Mezzanine to Surface","Repair","TBD","Use stairs or elevators"
"Escalator","Link","Pioneer Square Station","#702 - Up, Southbound Platform to Mezzanine","Repair","TBD","Use stairs or elevator"
"Escalator","Link","Pioneer Square Station","#706 - Northbound, Mezzanine to Surface","Repair","TBD","Use stairs or elevator"
"Escalator","Link","Pioneer Square Station","#707 - Northbound mezzanine to surface","Repair","TBD","Use stairs or elevator"
"Escalator","Link","Pioneer Square Station","#709 - Southbound, Mezzanine to surface","Repair","TBD","Use stairs or elevator"
"Escalator","Link","International District / Chinatown Station","#901 - Station Access","TBD","TBD","Use stairs or elevator"
"Escalator","Link","International District / Chinatown Station","#902 - Station Access","TBD","TBD","Use stairs or elevator"
"Elevator","Link","Beacon Hill Station","#3 - Station Access","Scheduled Maintenance","9/10","Use other elevator, escalators, or stairs"
"Escalator","Link","Pioneer Square Station","#705 - Northbound, Mezzanine to Surface.","Repair","TBD","Use stairs or elevator"
"Elevator","Sounder","Auburn Station","#2 - Parking Garage","Repair","9/2","Use other elevator"
"Elevator","Link","Beacon Hill Station","#3 - Station Access","Scheduled Maintenance","9/3","Use other elevator, escalators, or stairs"
"Escalator","Link","University Street Station","#511 - Southbound Up, Mezzanine to Surface","Repair","TBD","Use stairs or elevator"
"Elevator","Link","University of Washington Station","#2 - Station Access","Repair","TBD","Use other elevator, escalators or stairs"
"Escalator","Link","Capitol Hill Station","#5 - Station Access","Inspection","TBD","Use stairs or elevator"
"Escalator","Link","Pioneer Square Station","#705 - Station Access","Repair","TBD","Use stairs or elevator"
"Escalator","Link","Pioneer Square Station","#706 - Station Access","Repair","TBD","Use stairs or elevator"
"Elevator","Link","Beacon Hill Station","#4 - Station Access","TBD","TBD","Use other elevator, escalators, or stairs"
"Elevator","Sounder","King Street Station","Station Platform","Maintenance | 8/23: 9:00 a.m. - 3:00 p.m.","8/23 - 3:00 p.m.","Contact Station Agent or Security Officer for assistance"
"Escalator","Link","Pioneer Square Station","#709 - Up, Southbound Mezzanine to Surface","Repair","TBD","Use stairs or elevator"
"Elevator","Link","SeaTac Airport Station","#1 - Station Access","Damage","TBD","Use other elevator, escalators, or stairs"
"Elevator","","All","All Elevators Are In Service","","",""
"Escalator","Link","Westlake Station","#304 - Station Access","Repair","TBD","Use stairs or elevator"
"Elevator","Link","University of Washington Station","#3 - Station Access","Repair","TBD","Use other elevators, escalators or stairs"
"Escalator","Link","University of Washington Station","#13 - Station Access","Repair","TBD","Use stairs or elevator"
"Escalator","Link","University Street Station","#501 - Station Access","Repair","TBD","Use stairs or elevator"
"Escalator","Link","Tukwila International Blvd Station","#4 - Station Access","Repair","TBD","Use stairs or elevator"
"Elevator","Link","University of Washington Station","#3 - Station Access","Repair","8/10","Use other elevators, escalators or stairs"
"Escalator","Link","Pioneer Square Station","#705 - Northbound mezzanine to Surface","Repair","7/30","Use stairs or elevator"
"Elevator","All","All","All Elevators Operational","-","-","-"
"Elevator","Link","SeaTac Airport Station","#3 - Skybridge Elevator","Vandalism","TBD","Use stairs or elevator"
"Elevator","-","All","All Elevators in Service","-","-","-"
"Elevator","Link","Tukwila International Blvd Station","#1 - Station Access","Repari","TBD","Use other elevator or stairs"
"Escalator","Link","University of Washington Station","#10 - Station Access","Repair","TBD","Use stairs or elevator"
"Elevator","-","All elevators are in service","-","-","-","-"
"Elevator","Link","Pioneer Square Station","#705 - Station Access","TBD","TBD","Use other elevators, escalators or stairs"
"Escalator","Link","University of Washington Station","#4 - Station Access","Vandalism","TBD","Use stairs or elevator"
"Escalator","Link","Pioneer Square Station","#705 - Northbound mezzanine to Surface","Repair","TBD","Use stairs or elevator"
"Elevator","-","All elevators in service","-","-","-","-"
"Elevator","Link","Pioneer Square Station","#705 - Station Access","Door Malfunction","TBD","Use other elevator, stairs or escalator"
"Elevator","Link","International District/Chinatown Station","#904 - Station Access","Repair","TBD","Use other elevator, stairs or escalator"
"Elevator","All Elevators Operating","All Elevators Operating","All Elevators Operating","All Elevators Operating","All Elevators Operating","All Elevators Operating"
"Escalator","Link","Westlake Station","#305 - Station Access","Repair","TBD","Use stairs or elevator"
"Escalator","Link","Westlake Station","#314 - Station Access","Repair","TBD","Use stairs or elevator"
"Elevator","Link","Pioneer Square Station","#705 - Northbound Mezzanine to Surface","Repair","TBD","Use other elevator or stairs"
"Elevator","Link","Beacon Hill Station","#1 - Station Access","Scheduled Maintenance","7/22","Use other elevator or stairs"
"Elevator","Link","Beacon Hill Station","#4 - Station Access","Scheduled Maintenance","7/16","Use other elevator or stairs"
"Escalator","Link","International District/Chinatown Station","#904 - Up, Southbound Platform to Plaza","Repair","TBD","Use stairs or elevator"
"Escalator","Link","Westlake Station","#304 - Southbound Platform to Mezzanine","Repair","TBD","Use stairs or elevator"
"Elevator","Link","Westlake Station","#305 - Station Access","Entrance Closed For Repair","TBD","Use other elevator or stairs"
"Escalator","Link","University Street Station","#505 - Mezzanine to Surface","Repair","TBD","Use stairs or elevator"
"Escalator","Link","Westlake Station","#315 - Station Access","TBD","TBD","Use stairs or elevator"
"Escalator","Link","Pioneer Square Station","#704 - Southbound platform to mezzanine","Repair","TBD","Use stairs or elevator"
"Escalator","Link","Pioneer Square Station","#706 - Northbound mezzanine to surface","Repair","TBD","Use stairs or elevator"
"Elevator","Link","Beacon Hill Station","#2 - Station Access","Scheduled Maintenance","7/9","Use other elevator or stairs"
"Elevator","Link","Pioneer Square Station","#701 - Station Access","Repair","TBD","Use other elevator or stairs"
"Escalator","Link","SeaTac Station","#4 - Station Access","Scheduled Maintenance","7/2","Use stairs or elevator"
